DHB,Dose1,Dose2,Population,Date
Northland,143765,138172,161320,2022-01-16
Waitemata,504275,496099,526087,2022-01-16
Auckland,419231,412615,423958,2022-01-16
Counties Manukau,460091,449606,482773,2022-01-16
Waikato,336500,327123,357176,2022-01-16
Lakes,87328,84245,94419,2022-01-16
Bay of Plenty,204093,197554,216941,2022-01-16
Tairawhiti,38570,36885,41965,2022-01-16
Taranaki,95793,93014,102147,2022-01-16
Hawkes Bay,139030,134536,145571,2022-01-16
MidCentral,145773,141924,152302,2022-01-16
Whanganui,52211,50585,57247,2022-01-16
Capital and Coast,265996,262171,271174,2022-01-16
Hutt Valley,125212,122672,130239,2022-01-16
Wairarapa,39611,38591,41427,2022-01-16
Nelson Marlborough,129975,126756,135743,2022-01-16
West Coast,25713,24883,27906,2022-01-16
Canterbury,475780,466984,482890,2022-01-16
South Canterbury,49674,48554,52584,2022-01-16
Southern,279387,273703,288015,2022-01-16
Overseas / Unknown,2912,2777,17173,2022-01-16
New Zealand,4020920,3929449,4209057,2022-01-16
All DHBs to 90%,NA,NA,NA,2022-01-16
