DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145325,141894,86852,124921,161320,2022-04-07
Waitemata,507500,502620,325104,451028,526087,2022-04-07
Auckland,420705,416702,281293,378941,423958,2022-04-07
Counties Manukau,464385,458311,272166,402123,482773,2022-04-07
Waikato,339619,334185,201658,294999,357176,2022-04-07
Lakes,87992,86292,51293,75113,94419,2022-04-07
Bay of Plenty,206186,202465,121432,179327,216941,2022-04-07
Tairawhiti,39098,38155,22280,32690,41965,2022-04-07
Taranaki,96652,95217,58377,83419,102147,2022-04-07
Hawkes Bay,141343,138944,87484,121625,145571,2022-04-07
MidCentral,146879,144933,94710,127851,152302,2022-04-07
Whanganui,52632,51754,33622,45795,57247,2022-04-07
Capital and Coast,267138,265297,194552,239802,271174,2022-04-07
Hutt Valley,125835,124542,85142,110809,130239,2022-04-07
Wairarapa,39937,39325,26175,35023,41427,2022-04-07
Nelson Marlborough,130862,129198,87020,115640,135743,2022-04-07
West Coast,25852,25444,16614,22658,27906,2022-04-07
Canterbury,481440,477040,324761,427853,482890,2022-04-07
South Canterbury,49870,49322,33700,44140,52584,2022-04-07
Southern,283585,280508,188582,251903,288015,2022-04-07
Overseas / Unknown,2823,2729,1375,2476,17173,2022-04-07
New Zealand,4055658,4004877,2594192,3568136,4209057,2022-04-07
