DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145322,141877,86491,124646,161320,2022-04-02
Waitemata,507405,502312,323954,450038,526087,2022-04-02
Auckland,420806,416493,280517,378253,423958,2022-04-02
Counties Manukau,464409,458076,271454,401112,482773,2022-04-02
Waikato,339659,334071,200971,294312,357176,2022-04-02
Lakes,87991,86228,51153,74820,94419,2022-04-02
Bay of Plenty,206166,202378,121135,178653,216941,2022-04-02
Tairawhiti,39101,38133,22215,32565,41965,2022-04-02
Taranaki,96645,95199,58187,83138,102147,2022-04-02
Hawkes Bay,141362,138924,87250,121295,145571,2022-04-02
MidCentral,146927,144938,94493,127592,152302,2022-04-02
Whanganui,52628,51739,33494,45656,57247,2022-04-02
Capital and Coast,267211,265298,194134,239457,271174,2022-04-02
Hutt Valley,125829,124502,84920,110512,130239,2022-04-02
Wairarapa,39936,39322,26109,34948,41427,2022-04-02
Nelson Marlborough,130869,129151,86821,115222,135743,2022-04-02
West Coast,25852,25437,16560,22588,27906,2022-04-02
Canterbury,481382,476754,323738,426750,482890,2022-04-02
South Canterbury,49886,49318,33611,44060,52584,2022-04-02
Southern,283102,279911,187686,250948,288015,2022-04-02
Overseas / Unknown,2868,2762,1397,2490,17173,2022-04-02
New Zealand,4055356,4002823,2586290,3559055,4209057,2022-04-02
