DHB,Dose1,Dose2,Population,Date
Northland,128068,104560,161320,2021-11-01
Waitemata,480711,426209,526087,2021-11-01
Auckland,399036,360143,423958,2021-11-01
Counties Manukau,430545,374881,482773,2021-11-01
Waikato,310407,259826,357176,2021-11-01
Lakes,76421,62426,94419,2021-11-01
Bay of Plenty,180801,148017,216941,2021-11-01
Tairawhiti,32971,26826,41965,2021-11-01
Taranaki,86191,68071,102147,2021-11-01
Hawkes Bay,123446,104470,145571,2021-11-01
MidCentral,131740,110879,152302,2021-11-01
Whanganui,46207,39038,57247,2021-11-01
Capital and Coast,250231,219122,271174,2021-11-01
Hutt Valley,114892,97676,130239,2021-11-01
Wairarapa,35511,30174,41427,2021-11-01
Nelson Marlborough,118070,103539,135743,2021-11-01
West Coast,22822,18817,27906,2021-11-01
Canterbury,441511,359535,482890,2021-11-01
South Canterbury,45654,39525,52584,2021-11-01
Southern,259459,224409,288015,2021-11-01
Overseas / Unknown,2046,1674,17173,2021-11-01
Total,3716740,3179817,4209057,2021-11-01
