DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145346,141928,87164,125571,161320,2022-04-13
Waitemata,507591,502789,327586,453745,526087,2022-04-13
Auckland,420643,416677,282446,380718,423958,2022-04-13
Counties Manukau,464427,458406,273546,404131,482773,2022-04-13
Waikato,339659,334294,202454,296461,357176,2022-04-13
Lakes,87993,86300,51490,75581,94419,2022-04-13
Bay of Plenty,206219,202529,121714,180192,216941,2022-04-13
Tairawhiti,39106,38181,22357,32964,41965,2022-04-13
Taranaki,96655,95237,58582,84016,102147,2022-04-13
Hawkes Bay,141406,139033,87735,122441,145571,2022-04-13
MidCentral,146865,144950,94956,128458,152302,2022-04-13
Whanganui,52622,51754,33758,46034,57247,2022-04-13
Capital and Coast,267094,265286,194895,240737,271174,2022-04-13
Hutt Valley,125863,124592,85387,111422,130239,2022-04-13
Wairarapa,39970,39366,26295,35242,41427,2022-04-13
Nelson Marlborough,130892,129245,87408,116398,135743,2022-04-13
West Coast,25857,25458,16656,22763,27906,2022-04-13
Canterbury,481490,477162,325817,429296,482890,2022-04-13
South Canterbury,49848,49312,33757,44315,52584,2022-04-13
Southern,283663,280608,189121,252746,288015,2022-04-13
Overseas / Unknown,2793,2701,1361,2463,17173,2022-04-13
New Zealand,4056002,4005808,2604485,3585694,4209057,2022-04-13
