DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145327,141872,86058,124048,161320,2022-03-27
Waitemata,507269,502177,322237,448663,526087,2022-03-27
Auckland,420938,416638,279233,377343,423958,2022-03-27
Counties Manukau,464466,458148,270191,399613,482773,2022-03-27
Waikato,339613,333988,199914,292778,357176,2022-03-27
Lakes,88054,86294,50920,74368,94419,2022-03-27
Bay of Plenty,206106,202302,120636,177238,216941,2022-03-27
Tairawhiti,39114,38134,22148,32316,41965,2022-03-27
Taranaki,96625,95158,57873,82602,102147,2022-03-27
Hawkes Bay,141298,138819,86783,120407,145571,2022-03-27
MidCentral,146943,144933,94029,126848,152302,2022-03-27
Whanganui,52629,51720,33314,45350,57247,2022-03-27
Capital and Coast,267284,265327,193485,238646,271174,2022-03-27
Hutt Valley,125830,124491,84546,110002,130239,2022-03-27
Wairarapa,39949,39331,26002,34779,41427,2022-03-27
Nelson Marlborough,130928,129211,86450,114465,135743,2022-03-27
West Coast,25849,25418,16446,22452,27906,2022-03-27
Canterbury,481230,476613,321927,424622,482890,2022-03-27
South Canterbury,49880,49306,33491,43870,52584,2022-03-27
Southern,282638,279435,186565,249324,288015,2022-03-27
Overseas / Unknown,2931,2831,1443,2542,17173,2022-03-27
New Zealand,4054901,4002146,2573691,3542276,4209057,2022-03-27
