DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145299,141831,85568,122935,161320,2022-03-22
Waitemata,507156,502089,320493,446827,526087,2022-03-22
Auckland,420932,416662,277724,376007,423958,2022-03-22
Counties Manukau,464494,458134,268824,397767,482773,2022-03-22
Waikato,339586,333931,198760,290599,357176,2022-03-22
Lakes,88041,86296,50695,73628,94419,2022-03-22
Bay of Plenty,206050,202237,120103,175532,216941,2022-03-22
Tairawhiti,39109,38120,22064,31910,41965,2022-03-22
Taranaki,96582,95104,57468,81871,102147,2022-03-22
Hawkes Bay,141239,138750,86320,119253,145571,2022-03-22
MidCentral,146942,144916,93561,125718,152302,2022-03-22
Whanganui,52628,51709,33134,44881,57247,2022-03-22
Capital and Coast,267215,265241,192630,237248,271174,2022-03-22
Hutt Valley,125814,124458,84109,109093,130239,2022-03-22
Wairarapa,39945,39324,25887,34494,41427,2022-03-22
Nelson Marlborough,130938,129245,86095,113445,135743,2022-03-22
West Coast,25842,25406,16344,22113,27906,2022-03-22
Canterbury,481096,476458,319745,421649,482890,2022-03-22
South Canterbury,49890,49309,33349,43521,52584,2022-03-22
Southern,282504,279259,185577,247361,288015,2022-03-22
Overseas / Unknown,2932,2836,1449,2526,17173,2022-03-22
New Zealand,4054234,4001315,2559899,3518378,4209057,2022-03-22
