DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145985,142246,84251,120378,161320,2022-03-14
Waitemata,508503,503178,315979,442539,526087,2022-03-14
Auckland,422118,417664,274219,372929,423958,2022-03-14
Counties Manukau,465606,458850,265168,392473,482773,2022-03-14
Waikato,340997,334960,196002,286089,357176,2022-03-14
Lakes,88507,86622,49993,72059,94419,2022-03-14
Bay of Plenty,207006,203002,118644,171639,216941,2022-03-14
Tairawhiti,39264,38231,21701,31089,41965,2022-03-14
Taranaki,96998,95370,56292,80420,102147,2022-03-14
Hawkes Bay,141851,139191,85018,116856,145571,2022-03-14
MidCentral,147678,145459,92162,123333,152302,2022-03-14
Whanganui,52955,51951,32644,43903,57247,2022-03-14
Capital and Coast,268122,265940,190597,234489,271174,2022-03-14
Hutt Valley,126318,124842,82992,107332,130239,2022-03-14
Wairarapa,40135,39467,25544,33871,41427,2022-03-14
Nelson Marlborough,131663,129799,85162,111556,135743,2022-03-14
West Coast,26005,25520,16084,21713,27906,2022-03-14
Canterbury,482781,477628,314203,415626,482890,2022-03-14
South Canterbury,50232,49604,32927,42861,52584,2022-03-14
Southern,283373,279833,183101,243382,288015,2022-03-14
Overseas / Unknown,2979,2881,1434,2486,17173,2022-03-14
New Zealand,4069076,4012238,2524117,3467023,4209057,2022-03-14
