DHB,Dose1,Dose2,Population,Date
Northland,145035,140337,161320,2022-02-07
Waitemata,506904,500038,526087,2022-02-07
Auckland,420953,415591,423958,2022-02-07
Counties Manukau,463422,454632,482773,2022-02-07
Waikato,339064,331307,357176,2022-02-07
Lakes,88037,85561,94419,2022-02-07
Bay of Plenty,205834,200594,216941,2022-02-07
Tairawhiti,38963,37655,41965,2022-02-07
Taranaki,96583,94426,102147,2022-02-07
Hawkes Bay,140593,136991,145571,2022-02-07
MidCentral,146891,143830,152302,2022-02-07
Whanganui,52683,51353,57247,2022-02-07
Capital and Coast,267086,264110,271174,2022-02-07
Hutt Valley,126027,123929,130239,2022-02-07
Wairarapa,39948,39129,41427,2022-02-07
Nelson Marlborough,131011,128506,135743,2022-02-07
West Coast,25920,25258,27906,2022-02-07
Canterbury,479117,472126,482890,2022-02-07
South Canterbury,50063,49190,52584,2022-02-07
Southern,280992,276556,288015,2022-02-07
Overseas / Unknown,2915,2796,17173,2022-02-07
New Zealand,4048041,3973915,4209057,2022-02-07
All DHBs to 90%,NA,NA,NA,2022-02-07
