DHB,Dose1,Dose2,Population,Date
Northland,139650,127575,161320,2021-12-06
Waitemata,496513,477658,526087,2021-12-06
Auckland,410946,396938,423958,2021-12-06
Counties Manukau,450819,427287,482773,2021-12-06
Waikato,329172,306987,357176,2021-12-06
Lakes,85060,77217,94419,2021-12-06
Bay of Plenty,198710,181305,216941,2021-12-06
Tairawhiti,37262,33402,41965,2021-12-06
Taranaki,93256,86169,102147,2021-12-06
Hawkes Bay,134853,123800,145571,2021-12-06
MidCentral,142608,131707,152302,2021-12-06
Whanganui,50899,46554,57247,2021-12-06
Capital and Coast,261454,250485,271174,2021-12-06
Hutt Valley,122696,115298,130239,2021-12-06
Wairarapa,38849,35870,41427,2021-12-06
Nelson Marlborough,126555,117804,135743,2021-12-06
West Coast,25015,22801,27906,2021-12-06
Canterbury,466855,441659,482890,2021-12-06
South Canterbury,48525,45569,52584,2021-12-06
Southern,274341,259045,288015,2021-12-06
Overseas / Unknown,2817,2566,17173,2021-12-06
New Zealand,3936855,3707696,4209057,2021-12-06
All DHBs to 90%,NA,NA,NA,2021-12-06
