DHB,Dose1,Dose2,Population,Date
Northland,144013,138661,161320,2022-01-19
Waitemata,504745,496867,526087,2022-01-19
Auckland,419423,413220,423958,2022-01-19
Counties Manukau,460718,450525,482773,2022-01-19
Waikato,336992,327983,357176,2022-01-19
Lakes,87464,84482,94419,2022-01-19
Bay of Plenty,204406,198110,216941,2022-01-19
Tairawhiti,38641,37062,41965,2022-01-19
Taranaki,95907,93242,102147,2022-01-19
Hawkes Bay,139255,134940,145571,2022-01-19
MidCentral,145982,142298,152302,2022-01-19
Whanganui,52289,50738,57247,2022-01-19
Capital and Coast,266230,262572,271174,2022-01-19
Hutt Valley,125360,122918,130239,2022-01-19
Wairarapa,39697,38729,41427,2022-01-19
Nelson Marlborough,130216,127187,135743,2022-01-19
West Coast,25760,24952,27906,2022-01-19
Canterbury,476354,467989,482890,2022-01-19
South Canterbury,49735,48686,52584,2022-01-19
Southern,279702,274322,288015,2022-01-19
Overseas / Unknown,2927,2796,17173,2022-01-19
New Zealand,4025816,3938279,4209057,2022-01-19
All DHBs to 90%,NA,NA,NA,2022-01-19
