DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145571,141349,73996,111265,161320,2022-02-21
Waitemata,507732,501603,274624,427252,526087,2022-02-21
Auckland,421640,416784,240439,362619,423958,2022-02-21
Counties Manukau,464711,457001,230229,374397,482773,2022-02-21
Waikato,340116,333316,171170,268642,357176,2022-02-21
Lakes,88316,86145,43690,66513,94419,2022-02-21
Bay of Plenty,206514,201958,103321,159136,216941,2022-02-21
Tairawhiti,39130,37957,18697,28283,41965,2022-02-21
Taranaki,96785,94925,47981,74354,102147,2022-02-21
Hawkes Bay,141319,138217,74370,108461,145571,2022-02-21
MidCentral,147348,144712,80447,115495,152302,2022-02-21
Whanganui,52850,51711,28988,40900,57247,2022-02-21
Capital and Coast,267523,264913,166081,224354,271174,2022-02-21
Hutt Valley,126203,124430,72477,101331,130239,2022-02-21
Wairarapa,40048,39301,22911,31630,41427,2022-02-21
Nelson Marlborough,131333,129188,77939,104889,135743,2022-02-21
West Coast,25952,25387,14074,19963,27906,2022-02-21
Canterbury,481317,475326,263325,386230,482890,2022-02-21
South Canterbury,50179,49414,28987,40300,52584,2022-02-21
Southern,281607,277738,164532,228440,288015,2022-02-21
Overseas / Unknown,2984,2878,1240,2395,17173,2022-02-21
New Zealand,4059178,3994253,2199518,3276849,4209057,2022-02-21
