DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145719,141636,77220,113288,161320,2022-02-25
Waitemata,507970,502062,288042,431123,526087,2022-02-25
Auckland,421852,417092,251727,365489,423958,2022-02-25
Counties Manukau,464940,457534,240202,377854,482773,2022-02-25
Waikato,340398,333851,179655,272509,357176,2022-02-25
Lakes,88386,86271,45410,67519,94419,2022-02-25
Bay of Plenty,206716,202329,107996,161977,216941,2022-02-25
Tairawhiti,39204,38079,19536,28771,41965,2022-02-25
Taranaki,96851,95082,50687,75642,102147,2022-02-25
Hawkes Bay,141444,138487,77418,110033,145571,2022-02-25
MidCentral,147400,144891,84376,117071,152302,2022-02-25
Whanganui,52870,51752,30151,41480,57247,2022-02-25
Capital and Coast,267775,265319,175200,226853,271174,2022-02-25
Hutt Valley,126228,124572,75789,102531,130239,2022-02-25
Wairarapa,40075,39351,23728,31990,41427,2022-02-25
Nelson Marlborough,131403,129346,80222,106143,135743,2022-02-25
West Coast,25968,25436,14834,20224,27906,2022-02-25
Canterbury,482019,476261,281449,393503,482890,2022-02-25
South Canterbury,50190,49494,30374,40794,52584,2022-02-25
Southern,281926,278212,171470,232011,288015,2022-02-25
Overseas / Unknown,2980,2875,1276,2410,17173,2022-02-25
New Zealand,4062314,3999932,2306762,3319215,4209057,2022-02-25
