DHB,Dose1,Dose2,Population,Date
Northland,124152,97925,161320,2021-10-21
Waitemata,471396,387871,526087,2021-10-21
Auckland,392415,333010,423958,2021-10-21
Counties Manukau,418543,342808,482773,2021-10-21
Waikato,300953,238821,357176,2021-10-21
Lakes,73637,56738,94419,2021-10-21
Bay of Plenty,175441,131356,216941,2021-10-21
Tairawhiti,31595,25094,41965,2021-10-21
Taranaki,83344,61514,102147,2021-10-21
Hawkes Bay,119981,97509,145571,2021-10-21
MidCentral,127927,102560,152302,2021-10-21
Whanganui,44864,36890,57247,2021-10-21
Capital and Coast,246210,200852,271174,2021-10-21
Hutt Valley,112055,88178,130239,2021-10-21
Wairarapa,34452,27989,41427,2021-10-21
Nelson Marlborough,114463,98222,135743,2021-10-21
West Coast,21789,17307,27906,2021-10-21
Canterbury,423362,311265,482890,2021-10-21
South Canterbury,43962,36193,52584,2021-10-21
Southern,251931,208370,288015,2021-10-21
Overseas / Unknown,2012,1559,17173,2021-10-21
Total,3614484,2902031,4209057,2021-10-21
