DHB,Dose1,Dose2,Population,Date
Northland,143176,136753,161320,2022-01-09
Waitemata,502559,493405,526087,2022-01-09
Auckland,416913,409690,423958,2022-01-09
Counties Manukau,458130,446374,482773,2022-01-09
Waikato,335182,324590,357176,2022-01-09
Lakes,86981,83466,94419,2022-01-09
Bay of Plenty,203228,195835,216941,2022-01-09
Tairawhiti,38401,36472,41965,2022-01-09
Taranaki,95374,92182,102147,2022-01-09
Hawkes Bay,138362,133168,145571,2022-01-09
MidCentral,145220,140676,152302,2022-01-09
Whanganui,52037,50133,57247,2022-01-09
Capital and Coast,265061,260606,271174,2022-01-09
Hutt Valley,124817,121815,130239,2022-01-09
Wairarapa,39469,38280,41427,2022-01-09
Nelson Marlborough,129372,125598,135743,2022-01-09
West Coast,25615,24684,27906,2022-01-09
Canterbury,474044,463607,482890,2022-01-09
South Canterbury,49460,48168,52584,2022-01-09
Southern,278586,271982,288015,2022-01-09
Overseas / Unknown,2857,2701,17173,2022-01-09
New Zealand,4004844,3900185,4209057,2022-01-09
All DHBs to 90%,NA,NA,NA,2022-01-09
