DHB,Dose1,Dose2,Population,Date
Northland,140253,128825,161320,2021-12-08
Waitemata,497224,479369,526087,2021-12-08
Auckland,411563,398262,423958,2021-12-08
Counties Manukau,451687,429044,482773,2021-12-08
Waikato,330141,309213,357176,2021-12-08
Lakes,85401,78067,94419,2021-12-08
Bay of Plenty,199403,182690,216941,2021-12-08
Tairawhiti,37435,33755,41965,2021-12-08
Taranaki,93567,86824,102147,2021-12-08
Hawkes Bay,135382,124755,145571,2021-12-08
MidCentral,143021,132702,152302,2021-12-08
Whanganui,51106,46957,57247,2021-12-08
Capital and Coast,261992,251611,271174,2021-12-08
Hutt Valley,122996,115927,130239,2021-12-08
Wairarapa,38944,36230,41427,2021-12-08
Nelson Marlborough,127015,118551,135743,2021-12-08
West Coast,25151,23106,27906,2021-12-08
Canterbury,467981,444370,482890,2021-12-08
South Canterbury,48650,45882,52584,2021-12-08
Southern,275037,260469,288015,2021-12-08
Overseas / Unknown,2824,2583,17173,2021-12-08
New Zealand,3946773,3729192,4209057,2021-12-08
All DHBs to 90%,NA,NA,NA,2021-12-08
