DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145317,141877,86535,124648,161320,2022-04-03
Waitemata,507405,502316,324083,450086,526087,2022-04-03
Auckland,420810,416497,280621,378285,423958,2022-04-03
Counties Manukau,464405,458061,271539,401161,482773,2022-04-03
Waikato,339660,334077,201085,294334,357176,2022-04-03
Lakes,87989,86228,51168,74829,94419,2022-04-03
Bay of Plenty,206164,202377,121155,178689,216941,2022-04-03
Tairawhiti,39104,38135,22227,32565,41965,2022-04-03
Taranaki,96656,95209,58206,83162,102147,2022-04-03
Hawkes Bay,141363,138925,87278,121317,145571,2022-04-03
MidCentral,146921,144938,94516,127620,152302,2022-04-03
Whanganui,52624,51738,33497,45659,57247,2022-04-03
Capital and Coast,267211,265297,194189,239465,271174,2022-04-03
Hutt Valley,125824,124497,84936,110514,130239,2022-04-03
Wairarapa,39936,39322,26111,34950,41427,2022-04-03
Nelson Marlborough,130872,129156,86838,115242,135743,2022-04-03
West Coast,25853,25438,16564,22589,27906,2022-04-03
Canterbury,481372,476747,323811,426804,482890,2022-04-03
South Canterbury,49883,49313,33616,44057,52584,2022-04-03
Southern,283113,279921,187738,250971,288015,2022-04-03
Overseas / Unknown,2870,2764,1397,2491,17173,2022-04-03
New Zealand,4055352,4002833,2587110,3559438,4209057,2022-04-03
