DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145522,141281,73054,110769,161320,2022-02-19
Waitemata,507674,501500,268936,425382,526087,2022-02-19
Auckland,421621,416706,235355,361417,423958,2022-02-19
Counties Manukau,464565,456780,225884,371887,482773,2022-02-19
Waikato,340014,333168,168669,267452,357176,2022-02-19
Lakes,88297,86082,42968,66011,94419,2022-02-19
Bay of Plenty,206464,201848,101521,157827,216941,2022-02-19
Tairawhiti,39115,37929,18420,28040,41965,2022-02-19
Taranaki,96788,94904,47175,73960,102147,2022-02-19
Hawkes Bay,141238,138077,73075,107474,145571,2022-02-19
MidCentral,147330,144652,79350,114638,152302,2022-02-19
Whanganui,52832,51674,28513,40678,57247,2022-02-19
Capital and Coast,267435,264795,162287,223258,271174,2022-02-19
Hutt Valley,126220,124405,70926,100626,130239,2022-02-19
Wairarapa,40049,39287,22594,31442,41427,2022-02-19
Nelson Marlborough,131305,129134,77048,104415,135743,2022-02-19
West Coast,25958,25392,13998,19851,27906,2022-02-19
Canterbury,481086,475006,257158,382806,482890,2022-02-19
South Canterbury,50175,49412,28621,40076,52584,2022-02-19
Southern,281555,277632,162207,227546,288015,2022-02-19
Overseas / Unknown,2967,2859,1205,2365,17173,2022-02-19
New Zealand,4058210,3992523,2158964,3257920,4209057,2022-02-19
