DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145816,141906,81029,115444,161320,2022-03-03
Waitemata,508201,502522,303957,433736,526087,2022-03-03
Auckland,421963,417390,264460,366730,423958,2022-03-03
Counties Manukau,465242,458059,253710,382919,482773,2022-03-03
Waikato,340700,334320,188668,276454,357176,2022-03-03
Lakes,88441,86425,47901,68834,94419,2022-03-03
Bay of Plenty,206833,202604,113876,164873,216941,2022-03-03
Tairawhiti,39236,38157,20664,29469,41965,2022-03-03
Taranaki,96908,95204,53566,77169,102147,2022-03-03
Hawkes Bay,141574,138766,81070,112126,145571,2022-03-03
MidCentral,147530,145157,88578,118746,152302,2022-03-03
Whanganui,52931,51846,31423,42203,57247,2022-03-03
Capital and Coast,267911,265568,183928,228429,271174,2022-03-03
Hutt Valley,126270,124679,79637,103747,130239,2022-03-03
Wairarapa,40095,39396,24656,32366,41427,2022-03-03
Nelson Marlborough,131536,129549,82662,107577,135743,2022-03-03
West Coast,25970,25468,15494,20704,27906,2022-03-03
Canterbury,482364,476912,299171,400497,482890,2022-03-03
South Canterbury,50198,49530,31557,41456,52584,2022-03-03
Southern,282583,279026,178444,235698,288015,2022-03-03
Overseas / Unknown,2974,2872,1358,2378,17173,2022-03-03
New Zealand,4065276,4005356,2425809,3361555,4209057,2022-03-03
