DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145241,141709,84854,121599,161320,2022-03-17
Waitemata,506920,501875,317625,444297,526087,2022-03-17
Auckland,420809,416551,275602,374143,423958,2022-03-17
Counties Manukau,464309,457885,266405,394558,482773,2022-03-17
Waikato,339441,333741,197223,287998,357176,2022-03-17
Lakes,88035,86263,50269,72731,94419,2022-03-17
Bay of Plenty,205969,202123,119174,173331,216941,2022-03-17
Tairawhiti,39100,38098,21871,31398,41965,2022-03-17
Taranaki,96535,95031,56816,80982,102147,2022-03-17
Hawkes Bay,141121,138598,85581,117754,145571,2022-03-17
MidCentral,146867,144813,92786,124378,152302,2022-03-17
Whanganui,52606,51668,32866,44373,57247,2022-03-17
Capital and Coast,267124,265119,191512,235605,271174,2022-03-17
Hutt Valley,125770,124400,83444,108077,130239,2022-03-17
Wairarapa,39943,39309,25680,34144,41427,2022-03-17
Nelson Marlborough,130882,129167,85545,112373,135743,2022-03-17
West Coast,25824,25384,16207,21864,27906,2022-03-17
Canterbury,480859,476146,316618,418211,482890,2022-03-17
South Canterbury,49893,49303,33122,43152,52584,2022-03-17
Southern,282392,279097,184413,245157,288015,2022-03-17
Overseas / Unknown,2943,2851,1436,2498,17173,2022-03-17
New Zealand,4052583,3999131,2539049,3488623,4209057,2022-03-17
