DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145350,141905,86419,124319,161320,2022-03-31
Waitemata,507420,502344,323331,449500,526087,2022-03-31
Auckland,420865,416543,280110,377872,423958,2022-03-31
Counties Manukau,464428,458096,270896,400378,482773,2022-03-31
Waikato,339683,334071,200680,293643,357176,2022-03-31
Lakes,88008,86246,51069,74619,94419,2022-03-31
Bay of Plenty,206188,202386,121014,178059,216941,2022-03-31
Tairawhiti,39114,38143,22204,32451,41965,2022-03-31
Taranaki,96641,95186,58094,82912,102147,2022-03-31
Hawkes Bay,141377,138927,87136,120934,145571,2022-03-31
MidCentral,146929,144940,94379,127278,152302,2022-03-31
Whanganui,52640,51749,33460,45531,57247,2022-03-31
Capital and Coast,267253,265329,193996,239153,271174,2022-03-31
Hutt Valley,125865,124534,84817,110293,130239,2022-03-31
Wairarapa,39940,39327,26075,34837,41427,2022-03-31
Nelson Marlborough,130891,129177,86728,114882,135743,2022-03-31
West Coast,25862,25444,16535,22538,27906,2022-03-31
Canterbury,481418,476775,323225,425976,482890,2022-03-31
South Canterbury,49885,49312,33574,43955,52584,2022-03-31
Southern,282923,279730,187358,250263,288015,2022-03-31
Overseas / Unknown,2878,2774,1405,2497,17173,2022-03-31
New Zealand,4055558,4002938,2582505,3551890,4209057,2022-03-31
