DHB,Dose1,Dose2,Population,Date
Northland,125549,99525,161320,2021-10-25
Waitemata,475288,403225,526087,2021-10-25
Auckland,395070,343631,423958,2021-10-25
Counties Manukau,423476,355419,482773,2021-10-25
Waikato,303882,243990,357176,2021-10-25
Lakes,74378,58176,94419,2021-10-25
Bay of Plenty,177197,136449,216941,2021-10-25
Tairawhiti,31992,25536,41965,2021-10-25
Taranaki,84318,63283,102147,2021-10-25
Hawkes Bay,120676,98275,145571,2021-10-25
MidCentral,129085,104889,152302,2021-10-25
Whanganui,45281,37454,57247,2021-10-25
Capital and Coast,247452,206021,271174,2021-10-25
Hutt Valley,112960,91128,130239,2021-10-25
Wairarapa,34817,28656,41427,2021-10-25
Nelson Marlborough,115720,99728,135743,2021-10-25
West Coast,21911,17471,27906,2021-10-25
Canterbury,427948,323698,482890,2021-10-25
South Canterbury,44293,36942,52584,2021-10-25
Southern,253558,212301,288015,2021-10-25
Overseas / Unknown,2018,1592,17173,2021-10-25
Total,3646869,2987389,4209057,2021-10-25
