DHB,Dose1,Dose2,Population,Date
Northland,144165,138934,161320,2022-01-22
Waitemata,505219,497590,526087,2022-01-22
Auckland,419957,413953,423958,2022-01-22
Counties Manukau,461262,451389,482773,2022-01-22
Waikato,337393,328704,357176,2022-01-22
Lakes,87607,84708,94419,2022-01-22
Bay of Plenty,204647,198552,216941,2022-01-22
Tairawhiti,38686,37176,41965,2022-01-22
Taranaki,96021,93459,102147,2022-01-22
Hawkes Bay,139449,135250,145571,2022-01-22
MidCentral,146137,142599,152302,2022-01-22
Whanganui,52376,50861,57247,2022-01-22
Capital and Coast,266409,262926,271174,2022-01-22
Hutt Valley,125497,123118,130239,2022-01-22
Wairarapa,39742,38804,41427,2022-01-22
Nelson Marlborough,130382,127428,135743,2022-01-22
West Coast,25789,25048,27906,2022-01-22
Canterbury,476865,468839,482890,2022-01-22
South Canterbury,49784,48787,52584,2022-01-22
Southern,279925,274764,288015,2022-01-22
Overseas / Unknown,2945,2819,17173,2022-01-22
New Zealand,4030257,3945708,4209057,2022-01-22
All DHBs to 90%,NA,NA,NA,2022-01-22
