DHB,Dose1,Dose2,Population,Date
Northland,133819,116353,161320,2021-11-16
Waitemata,488070,453516,526087,2021-11-16
Auckland,404296,379672,423958,2021-11-16
Counties Manukau,440341,401820,482773,2021-11-16
Waikato,318849,284035,357176,2021-11-16
Lakes,80279,70029,94419,2021-11-16
Bay of Plenty,187551,164326,216941,2021-11-16
Tairawhiti,35027,29859,41965,2021-11-16
Taranaki,89632,77931,102147,2021-11-16
Hawkes Bay,128326,113176,145571,2021-11-16
MidCentral,136339,121121,152302,2021-11-16
Whanganui,48129,42670,57247,2021-11-16
Capital and Coast,254466,235264,271174,2021-11-16
Hutt Valley,117835,106838,130239,2021-11-16
Wairarapa,37220,32808,41427,2021-11-16
Nelson Marlborough,120970,109135,135743,2021-11-16
West Coast,23952,20686,27906,2021-11-16
Canterbury,452185,398788,482890,2021-11-16
South Canterbury,46836,42131,52584,2021-11-16
Southern,265887,239615,288015,2021-11-16
Overseas / Unknown,2886,2567,17173,2021-11-16
New Zealand,3812895,3442340,4209057,2021-11-16
All DHBs to 90%,NA,NA,NA,2021-11-16
