DHB,Dose1,Dose2,Population,Date
Northland,144639,139703,161320,2022-01-29
Waitemata,506195,498951,526087,2022-01-29
Auckland,420631,414882,423958,2022-01-29
Counties Manukau,462467,453059,482773,2022-01-29
Waikato,338413,330119,357176,2022-01-29
Lakes,87833,85149,94419,2022-01-29
Bay of Plenty,205399,199715,216941,2022-01-29
Tairawhiti,38868,37461,41965,2022-01-29
Taranaki,96358,93991,102147,2022-01-29
Hawkes Bay,140136,136222,145571,2022-01-29
MidCentral,146493,143223,152302,2022-01-29
Whanganui,52520,51098,57247,2022-01-29
Capital and Coast,266785,263545,271174,2022-01-29
Hutt Valley,125764,123495,130239,2022-01-29
Wairarapa,39828,38934,41427,2022-01-29
Nelson Marlborough,130753,128057,135743,2022-01-29
West Coast,25866,25166,27906,2022-01-29
Canterbury,478147,470605,482890,2022-01-29
South Canterbury,49947,49003,52584,2022-01-29
Southern,280538,275748,288015,2022-01-29
Overseas / Unknown,2958,2833,17173,2022-01-29
New Zealand,4040538,3960959,4209057,2022-01-29
All DHBs to 90%,NA,NA,NA,2022-01-29
