DHB,Dose1,Dose2,Population,Date
Northland,142562,134924,161320,2021-12-26
Waitemata,500662,489443,526087,2021-12-26
Auckland,414669,405771,423958,2021-12-26
Counties Manukau,456186,441523,482773,2021-12-26
Waikato,333828,320598,357176,2021-12-26
Lakes,86565,82012,94419,2021-12-26
Bay of Plenty,202010,192162,216941,2021-12-26
Tairawhiti,38140,35771,41965,2021-12-26
Taranaki,94902,90589,102147,2021-12-26
Hawkes Bay,137529,130822,145571,2021-12-26
MidCentral,144691,138809,152302,2021-12-26
Whanganui,51787,49314,57247,2021-12-26
Capital and Coast,263989,258139,271174,2021-12-26
Hutt Valley,124341,120254,130239,2021-12-26
Wairarapa,39298,37751,41427,2021-12-26
Nelson Marlborough,128593,123230,135743,2021-12-26
West Coast,25526,24285,27906,2021-12-26
Canterbury,472051,458138,482890,2021-12-26
South Canterbury,49239,47588,52584,2021-12-26
Southern,277617,268967,288015,2021-12-26
Overseas / Unknown,2815,2646,17173,2021-12-26
New Zealand,3987000,3852736,4209057,2021-12-26
All DHBs to 90%,NA,NA,NA,2021-12-26
