DHB,Dose1,Dose2,Population,Date
Northland,142578,135041,161320,2021-12-28
Waitemata,500741,489730,526087,2021-12-28
Auckland,414719,405986,423958,2021-12-28
Counties Manukau,456275,441864,482773,2021-12-28
Waikato,333905,320953,357176,2021-12-28
Lakes,86595,82199,94419,2021-12-28
Bay of Plenty,202061,192493,216941,2021-12-28
Tairawhiti,38142,35787,41965,2021-12-28
Taranaki,94924,90694,102147,2021-12-28
Hawkes Bay,137556,131002,145571,2021-12-28
MidCentral,144704,138983,152302,2021-12-28
Whanganui,51804,49404,57247,2021-12-28
Capital and Coast,264024,258401,271174,2021-12-28
Hutt Valley,124349,120343,130239,2021-12-28
Wairarapa,39300,37762,41427,2021-12-28
Nelson Marlborough,128617,123362,135743,2021-12-28
West Coast,25531,24297,27906,2021-12-28
Canterbury,472118,458586,482890,2021-12-28
South Canterbury,49245,47603,52584,2021-12-28
Southern,277660,269286,288015,2021-12-28
Overseas / Unknown,2816,2648,17173,2021-12-28
New Zealand,3987664,3856424,4209057,2021-12-28
All DHBs to 90%,NA,NA,NA,2021-12-28
