DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145699,141595,76539,112732,161320,2022-02-24
Waitemata,507893,501895,283555,430174,526087,2022-02-24
Auckland,421754,416980,248175,364733,423958,2022-02-24
Counties Manukau,464908,457407,236758,376999,482773,2022-02-24
Waikato,340321,333718,177220,271423,357176,2022-02-24
Lakes,88376,86249,44851,67266,94419,2022-02-24
Bay of Plenty,206686,202243,106519,161370,216941,2022-02-24
Tairawhiti,39167,38031,19329,28658,41965,2022-02-24
Taranaki,96840,95042,49822,75330,102147,2022-02-24
Hawkes Bay,141444,138462,76618,109656,145571,2022-02-24
MidCentral,147391,144848,83289,116631,152302,2022-02-24
Whanganui,52870,51745,29906,41337,57247,2022-02-24
Capital and Coast,267733,265241,172800,226275,271174,2022-02-24
Hutt Valley,126216,124534,74740,102129,130239,2022-02-24
Wairarapa,40071,39337,23478,31898,41427,2022-02-24
Nelson Marlborough,131376,129304,79579,105888,135743,2022-02-24
West Coast,25964,25425,14616,20166,27906,2022-02-24
Canterbury,481932,476112,276697,391755,482890,2022-02-24
South Canterbury,50190,49473,29944,40696,52584,2022-02-24
Southern,281804,278033,169728,231058,288015,2022-02-24
Overseas / Unknown,2980,2875,1261,2401,17173,2022-02-24
New Zealand,4061615,3998549,2275424,3308575,4209057,2022-02-24
