DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145847,141979,82119,116210,161320,2022-03-05
Waitemata,508301,502690,307949,434878,526087,2022-03-05
Auckland,421971,417418,267708,367472,423958,2022-03-05
Counties Manukau,465319,458248,257969,383839,482773,2022-03-05
Waikato,340762,334443,190901,277884,357176,2022-03-05
Lakes,88469,86454,48497,69214,94419,2022-03-05
Bay of Plenty,206834,202656,115241,165639,216941,2022-03-05
Tairawhiti,39233,38160,20927,29648,41965,2022-03-05
Taranaki,96915,95230,54417,77553,102147,2022-03-05
Hawkes Bay,141629,138842,82248,112783,145571,2022-03-05
MidCentral,147558,145219,89684,119364,152302,2022-03-05
Whanganui,52941,51878,31759,42488,57247,2022-03-05
Capital and Coast,267921,265620,185900,229484,271174,2022-03-05
Hutt Valley,126264,124700,80576,104250,130239,2022-03-05
Wairarapa,40112,39422,24912,32533,41427,2022-03-05
Nelson Marlborough,131563,129619,83325,108254,135743,2022-03-05
West Coast,25975,25474,15694,20808,27906,2022-03-05
Canterbury,482465,477111,303814,403297,482890,2022-03-05
South Canterbury,50210,49543,31904,41648,52584,2022-03-05
Southern,282792,279293,179931,237373,288015,2022-03-05
Overseas / Unknown,2965,2865,1384,2386,17173,2022-03-05
New Zealand,4066046,4006864,2456859,3377005,4209057,2022-03-05
