DHB,Dose1,Dose2,Population,Date
Northland,132553,114150,161320,2021-11-12
Waitemata,486235,447743,526087,2021-11-12
Auckland,402888,375296,423958,2021-11-12
Counties Manukau,437769,395383,482773,2021-11-12
Waikato,316778,278877,357176,2021-11-12
Lakes,78616,67908,94419,2021-11-12
Bay of Plenty,185131,160398,216941,2021-11-12
Tairawhiti,34413,29166,41965,2021-11-12
Taranaki,88575,75889,102147,2021-11-12
Hawkes Bay,126813,111026,145571,2021-11-12
MidCentral,134772,118436,152302,2021-11-12
Whanganui,47581,41880,57247,2021-11-12
Capital and Coast,253155,231741,271174,2021-11-12
Hutt Valley,116865,104857,130239,2021-11-12
Wairarapa,36442,31971,41427,2021-11-12
Nelson Marlborough,120166,107764,135743,2021-11-12
West Coast,23672,20351,27906,2021-11-12
Canterbury,449717,390227,482890,2021-11-12
South Canterbury,46551,41638,52584,2021-11-12
Southern,264484,236418,288015,2021-11-12
Overseas / Unknown,2967,2608,17173,2021-11-12
New Zealand,3786143,3383727,4209057,2021-11-12
All DHBs to 90%,NA,NA,NA,2021-11-12
