DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145380,142008,87477,126553,161320,2022-04-26
Waitemata,507589,502888,329225,453856,526087,2022-04-26
Auckland,420585,416682,283706,380780,423958,2022-04-26
Counties Manukau,464466,458528,274826,405091,482773,2022-04-26
Waikato,339661,334353,203138,297743,357176,2022-04-26
Lakes,87949,86274,51662,76170,94419,2022-04-26
Bay of Plenty,206263,202625,122091,181467,216941,2022-04-26
Tairawhiti,39105,38188,22467,33278,41965,2022-04-26
Taranaki,96686,95287,58815,84584,102147,2022-04-26
Hawkes Bay,141504,139145,88099,123462,145571,2022-04-26
MidCentral,146850,144964,95269,129264,152302,2022-04-26
Whanganui,52601,51742,33835,46340,57247,2022-04-26
Capital and Coast,266989,265223,195269,240985,271174,2022-04-26
Hutt Valley,125852,124586,85634,111849,130239,2022-04-26
Wairarapa,39961,39366,26360,35377,41427,2022-04-26
Nelson Marlborough,130904,129283,87649,117042,135743,2022-04-26
West Coast,25872,25479,16714,22967,27906,2022-04-26
Canterbury,481545,477307,327082,431551,482890,2022-04-26
South Canterbury,49808,49282,33807,44521,52584,2022-04-26
Southern,283675,280643,189730,253783,288015,2022-04-26
Overseas / Unknown,2909,2812,1431,2605,17173,2022-04-26
New Zealand,4056154,4006665,2614286,3599268,4209057,2022-04-26
