DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145951,142163,83653,119143,161320,2022-03-10
Waitemata,508406,502956,312701,440096,526087,2022-03-10
Auckland,422034,417511,271510,371191,423958,2022-03-10
Counties Manukau,465471,458593,261883,389408,482773,2022-03-10
Waikato,340888,334762,194191,283436,357176,2022-03-10
Lakes,88489,86563,49458,71243,94419,2022-03-10
Bay of Plenty,206995,202929,117392,169656,216941,2022-03-10
Tairawhiti,39257,38212,21448,30650,41965,2022-03-10
Taranaki,96977,95332,55708,79582,102147,2022-03-10
Hawkes Bay,141766,139066,84069,115521,145571,2022-03-10
MidCentral,147639,145374,91311,121886,152302,2022-03-10
Whanganui,52958,51933,32348,43398,57247,2022-03-10
Capital and Coast,268043,265806,188916,232968,271174,2022-03-10
Hutt Valley,126296,124778,82126,106293,130239,2022-03-10
Wairarapa,40119,39443,25299,33484,41427,2022-03-10
Nelson Marlborough,131633,129737,84353,110616,135743,2022-03-10
West Coast,25987,25503,15955,21421,27906,2022-03-10
Canterbury,482651,477426,310511,412148,482890,2022-03-10
South Canterbury,50223,49584,32599,42501,52584,2022-03-10
Southern,283208,279617,181614,241690,288015,2022-03-10
Overseas / Unknown,2980,2879,1422,2464,17173,2022-03-10
New Zealand,4067971,4010167,2498467,3438795,4209057,2022-03-10
