DHB,Dose1,Dose2,Population,Date
Northland,145449,141093,161320,2022-02-16
Waitemata,507545,501207,526087,2022-02-16
Auckland,421465,416417,423958,2022-02-16
Counties Manukau,464308,456305,482773,2022-02-16
Waikato,339823,332745,357176,2022-02-16
Lakes,88253,85993,94419,2022-02-16
Bay of Plenty,206351,201594,216941,2022-02-16
Tairawhiti,39093,37886,41965,2022-02-16
Taranaki,96743,94795,102147,2022-02-16
Hawkes Bay,141125,137885,145571,2022-02-16
MidCentral,147260,144469,152302,2022-02-16
Whanganui,52801,51608,57247,2022-02-16
Capital and Coast,267374,264641,271174,2022-02-16
Hutt Valley,126174,124284,130239,2022-02-16
Wairarapa,40035,39267,41427,2022-02-16
Nelson Marlborough,131229,128958,135743,2022-02-16
West Coast,25941,25343,27906,2022-02-16
Canterbury,480550,474206,482890,2022-02-16
South Canterbury,50162,49369,52584,2022-02-16
Southern,281442,277366,288015,2022-02-16
Overseas / Unknown,2950,2841,17173,2022-02-16
New Zealand,4056073,3988272,4209057,2022-02-16
