DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145908,142077,82845,118043,161320,2022-03-08
Waitemata,508389,502864,310953,438704,526087,2022-03-08
Auckland,421966,417441,270153,370090,423958,2022-03-08
Counties Manukau,465420,458456,260488,388062,482773,2022-03-08
Waikato,340790,334590,192825,281560,357176,2022-03-08
Lakes,88498,86529,49159,70555,94419,2022-03-08
Bay of Plenty,206933,202817,116577,168457,216941,2022-03-08
Tairawhiti,39242,38187,21255,30357,41965,2022-03-08
Taranaki,96968,95279,55118,79033,102147,2022-03-08
Hawkes Bay,141720,138983,83292,114727,145571,2022-03-08
MidCentral,147593,145304,90533,121040,152302,2022-03-08
Whanganui,52952,51907,32111,43061,57247,2022-03-08
Capital and Coast,267944,265674,187708,231895,271174,2022-03-08
Hutt Valley,126305,124763,81574,105767,130239,2022-03-08
Wairarapa,40117,39438,25150,33183,41427,2022-03-08
Nelson Marlborough,131611,129706,83909,109974,135743,2022-03-08
West Coast,25976,25487,15806,21156,27906,2022-03-08
Canterbury,482540,477261,307544,409709,482890,2022-03-08
South Canterbury,50213,49567,32349,42232,52584,2022-03-08
Southern,283055,279380,180422,240557,288015,2022-03-08
Overseas / Unknown,2983,2882,1414,2446,17173,2022-03-08
New Zealand,4067123,4008592,2481185,3420608,4209057,2022-03-08
