DHB,Dose1,Dose2,Dose3,Eligible,Population,Date
Northland,145327,141869,86140,124040,161320,2022-03-28
Waitemata,507307,502230,322533,448766,526087,2022-03-28
Auckland,420935,416628,279476,377372,423958,2022-03-28
Counties Manukau,464442,458133,270348,399646,482773,2022-03-28
Waikato,339632,334024,200101,292862,357176,2022-03-28
Lakes,88037,86280,50941,74370,94419,2022-03-28
Bay of Plenty,206113,202306,120728,177266,216941,2022-03-28
Tairawhiti,39116,38135,22160,32326,41965,2022-03-28
Taranaki,96624,95163,57940,82621,102147,2022-03-28
Hawkes Bay,141344,138874,86874,120489,145571,2022-03-28
MidCentral,146946,144936,94107,126887,152302,2022-03-28
Whanganui,52633,51726,33333,45374,57247,2022-03-28
Capital and Coast,267263,265316,193630,238646,271174,2022-03-28
Hutt Valley,125836,124499,84627,110010,130239,2022-03-28
Wairarapa,39949,39335,26021,34781,41427,2022-03-28
Nelson Marlborough,130925,129211,86518,114484,135743,2022-03-28
West Coast,25845,25414,16453,22454,27906,2022-03-28
Canterbury,481275,476665,322233,424777,482890,2022-03-28
South Canterbury,49880,49306,33510,43865,52584,2022-03-28
Southern,282722,279520,186749,249433,288015,2022-03-28
Overseas / Unknown,2913,2812,1431,2524,17173,2022-03-28
New Zealand,4055064,4002382,2575853,3542993,4209057,2022-03-28
