DHB,Dose1,Dose2,Population,Date
Northland,2524,45,10478,2022-03-13
Waitemata,3415,144,8520,2022-03-13
Auckland,1935,108,4322,2022-03-13
Counties Manukau,4309,199,13654,2022-03-13
Waikato,4366,104,14353,2022-03-13
Lakes,1593,58,5837,2022-03-13
Bay of Plenty,2499,92,9663,2022-03-13
Tairawhiti,1451,49,3586,2022-03-13
Taranaki,1193,22,3891,2022-03-13
Hawkes Bay,2188,91,7110,2022-03-13
MidCentral,1956,40,5415,2022-03-13
Whanganui,751,8,2707,2022-03-13
Capital and Coast,2296,60,4676,2022-03-13
Hutt Valley,1651,34,3674,2022-03-13
Wairarapa,452,40,1304,2022-03-13
Nelson Marlborough,926,22,2457,2022-03-13
West Coast,203,6,548,2022-03-13
Canterbury,3278,95,7502,2022-03-13
South Canterbury,310,5,788,2022-03-13
Southern,1951,31,4918,2022-03-13
Overseas / Unknown,11,5,159,2022-03-13
Total,39258,1253,115562,2022-03-13
