DHB,Dose1,Dose2,Population,Date
Northland,2701,492,10478,2022-04-07
Waitemata,3470,1068,8520,2022-04-07
Auckland,1962,675,4322,2022-04-07
Counties Manukau,4454,960,13654,2022-04-07
Waikato,4491,952,14353,2022-04-07
Lakes,1654,377,5837,2022-04-07
Bay of Plenty,2558,563,9663,2022-04-07
Tairawhiti,1589,352,3586,2022-04-07
Taranaki,1219,340,3891,2022-04-07
Hawkes Bay,2274,471,7110,2022-04-07
MidCentral,2025,553,5415,2022-04-07
Whanganui,777,195,2707,2022-04-07
Capital and Coast,2332,861,4676,2022-04-07
Hutt Valley,1686,486,3674,2022-04-07
Wairarapa,466,114,1304,2022-04-07
Nelson Marlborough,960,273,2457,2022-04-07
West Coast,215,73,548,2022-04-07
Canterbury,3336,1065,7502,2022-04-07
South Canterbury,328,73,788,2022-04-07
Southern,2009,633,4918,2022-04-07
Overseas / Unknown,10,5,159,2022-04-07
Total,40516,10578,115562,2022-04-07
