DHB,Dose1,Population,Date
Northland,719,10478,2022-01-26
Waitemata,1730,8520,2022-01-26
Auckland,1048,4322,2022-01-26
Counties Manukau,1781,13654,2022-01-26
Waikato,1824,14353,2022-01-26
Lakes,650,5837,2022-01-26
Bay of Plenty,993,9663,2022-01-26
Tairawhiti,409,3586,2022-01-26
Taranaki,533,3891,2022-01-26
Hawkes Bay,693,7110,2022-01-26
MidCentral,637,5415,2022-01-26
Whanganui,237,2707,2022-01-26
Capital and Coast,1043,4676,2022-01-26
Hutt Valley,717,3674,2022-01-26
Wairarapa,121,1304,2022-01-26
Nelson Marlborough,479,2457,2022-01-26
West Coast,53,548,2022-01-26
Canterbury,1152,7502,2022-01-26
South Canterbury,130,788,2022-01-26
Southern,686,4918,2022-01-26
Overseas / Unknown,5,159,2022-01-26
Total,15639,115562,2022-01-26
