DHB,Dose1,Dose2,Population,Date
Northland,2610,227,10478,2022-03-23
Waitemata,3465,639,8520,2022-03-23
Auckland,1960,425,4322,2022-03-23
Counties Manukau,4398,577,13654,2022-03-23
Waikato,4432,544,14353,2022-03-23
Lakes,1638,234,5837,2022-03-23
Bay of Plenty,2532,315,9663,2022-03-23
Tairawhiti,1551,172,3586,2022-03-23
Taranaki,1212,197,3891,2022-03-23
Hawkes Bay,2252,267,7110,2022-03-23
MidCentral,1999,271,5415,2022-03-23
Whanganui,775,106,2707,2022-03-23
Capital and Coast,2319,515,4676,2022-03-23
Hutt Valley,1673,255,3674,2022-03-23
Wairarapa,461,81,1304,2022-03-23
Nelson Marlborough,939,163,2457,2022-03-23
West Coast,212,32,548,2022-03-23
Canterbury,3311,542,7502,2022-03-23
South Canterbury,322,43,788,2022-03-23
Southern,1994,267,4918,2022-03-23
Overseas / Unknown,10,5,159,2022-03-23
Total,40065,5872,115562,2022-03-23
