DHB,Dose1,Dose2,Population,Date
Northland,2671,402,10478,2022-03-31
Waitemata,3469,905,8520,2022-03-31
Auckland,1965,589,4322,2022-03-31
Counties Manukau,4427,825,13654,2022-03-31
Waikato,4459,833,14353,2022-03-31
Lakes,1650,330,5837,2022-03-31
Bay of Plenty,2545,468,9663,2022-03-31
Tairawhiti,1575,285,3586,2022-03-31
Taranaki,1214,309,3891,2022-03-31
Hawkes Bay,2267,394,7110,2022-03-31
MidCentral,2023,459,5415,2022-03-31
Whanganui,776,170,2707,2022-03-31
Capital and Coast,2325,785,4676,2022-03-31
Hutt Valley,1676,425,3674,2022-03-31
Wairarapa,460,98,1304,2022-03-31
Nelson Marlborough,949,246,2457,2022-03-31
West Coast,216,62,548,2022-03-31
Canterbury,3326,916,7502,2022-03-31
South Canterbury,329,67,788,2022-03-31
Southern,2005,501,4918,2022-03-31
Overseas / Unknown,10,5,159,2022-03-31
Total,40337,9070,115562,2022-03-31
