DHB,Dose1,Dose2,Population,Date
Northland,2766,660,10478,2022-05-01
Waitemata,3481,1289,8520,2022-05-01
Auckland,1972,801,4322,2022-05-01
Counties Manukau,4494,1250,13654,2022-05-01
Waikato,4524,1189,14353,2022-05-01
Lakes,1665,442,5837,2022-05-01
Bay of Plenty,2564,647,9663,2022-05-01
Tairawhiti,1605,476,3586,2022-05-01
Taranaki,1231,402,3891,2022-05-01
Hawkes Bay,2291,588,7110,2022-05-01
MidCentral,2037,663,5415,2022-05-01
Whanganui,783,228,2707,2022-05-01
Capital and Coast,2346,999,4676,2022-05-01
Hutt Valley,1690,577,3674,2022-05-01
Wairarapa,466,140,1304,2022-05-01
Nelson Marlborough,961,309,2457,2022-05-01
West Coast,214,77,548,2022-05-01
Canterbury,3354,1301,7502,2022-05-01
South Canterbury,331,88,788,2022-05-01
Southern,2022,786,4918,2022-05-01
Overseas / Unknown,10,5,159,2022-05-01
Total,40807,12915,115562,2022-05-01
