DHB,Dose1,Population,Date
Northland,1442,10478,2022-02-08
Waitemata,2773,8520,2022-02-08
Auckland,1592,4322,2022-02-08
Counties Manukau,3194,13654,2022-02-08
Waikato,3008,14353,2022-02-08
Lakes,1125,5837,2022-02-08
Bay of Plenty,1711,9663,2022-02-08
Tairawhiti,844,3586,2022-02-08
Taranaki,922,3891,2022-02-08
Hawkes Bay,1396,7110,2022-02-08
MidCentral,1306,5415,2022-02-08
Whanganui,448,2707,2022-02-08
Capital and Coast,1795,4676,2022-02-08
Hutt Valley,1238,3674,2022-02-08
Wairarapa,295,1304,2022-02-08
Nelson Marlborough,721,2457,2022-02-08
West Coast,139,548,2022-02-08
Canterbury,2276,7502,2022-02-08
South Canterbury,218,788,2022-02-08
Southern,1367,4918,2022-02-08
Overseas / Unknown,9,159,2022-02-08
Total,27819,115562,2022-02-08
