DHB,Dose1,Population,Date
Northland,1361,10478,2022-02-05
Waitemata,2704,8520,2022-02-05
Auckland,1546,4322,2022-02-05
Counties Manukau,2974,13654,2022-02-05
Waikato,2912,14353,2022-02-05
Lakes,1031,5837,2022-02-05
Bay of Plenty,1633,9663,2022-02-05
Tairawhiti,778,3586,2022-02-05
Taranaki,901,3891,2022-02-05
Hawkes Bay,1338,7110,2022-02-05
MidCentral,1258,5415,2022-02-05
Whanganui,430,2707,2022-02-05
Capital and Coast,1761,4676,2022-02-05
Hutt Valley,1224,3674,2022-02-05
Wairarapa,285,1304,2022-02-05
Nelson Marlborough,709,2457,2022-02-05
West Coast,139,548,2022-02-05
Canterbury,2222,7502,2022-02-05
South Canterbury,211,788,2022-02-05
Southern,1318,4918,2022-02-05
Overseas / Unknown,9,159,2022-02-05
Total,26744,115562,2022-02-05
