DHB,Dose1,Population,Date
Northland,1796,10478,2022-02-17
Waitemata,2983,8520,2022-02-17
Auckland,1719,4322,2022-02-17
Counties Manukau,3611,13654,2022-02-17
Waikato,3444,14353,2022-02-17
Lakes,1250,5837,2022-02-17
Bay of Plenty,1922,9663,2022-02-17
Tairawhiti,1016,3586,2022-02-17
Taranaki,980,3891,2022-02-17
Hawkes Bay,1587,7110,2022-02-17
MidCentral,1501,5415,2022-02-17
Whanganui,520,2707,2022-02-17
Capital and Coast,1994,4676,2022-02-17
Hutt Valley,1401,3674,2022-02-17
Wairarapa,350,1304,2022-02-17
Nelson Marlborough,773,2457,2022-02-17
West Coast,152,548,2022-02-17
Canterbury,2596,7502,2022-02-17
South Canterbury,248,788,2022-02-17
Southern,1641,4918,2022-02-17
Overseas / Unknown,9,159,2022-02-17
Total,31493,115562,2022-02-17
