DHB,Dose1,Population,Date
Northland,1691,10478,2022-02-14
Waitemata,2931,8520,2022-02-14
Auckland,1681,4322,2022-02-14
Counties Manukau,3477,13654,2022-02-14
Waikato,3296,14353,2022-02-14
Lakes,1222,5837,2022-02-14
Bay of Plenty,1873,9663,2022-02-14
Tairawhiti,936,3586,2022-02-14
Taranaki,959,3891,2022-02-14
Hawkes Bay,1552,7110,2022-02-14
MidCentral,1421,5415,2022-02-14
Whanganui,492,2707,2022-02-14
Capital and Coast,1935,4676,2022-02-14
Hutt Valley,1352,3674,2022-02-14
Wairarapa,333,1304,2022-02-14
Nelson Marlborough,758,2457,2022-02-14
West Coast,148,548,2022-02-14
Canterbury,2507,7502,2022-02-14
South Canterbury,240,788,2022-02-14
Southern,1554,4918,2022-02-14
Overseas / Unknown,10,159,2022-02-14
Total,30368,115562,2022-02-14
