DHB,Dose1,Dose2,Population,Date
Northland,2585,144,10478,2022-03-20
Waitemata,3458,504,8520,2022-03-20
Auckland,1947,341,4322,2022-03-20
Counties Manukau,4393,480,13654,2022-03-20
Waikato,4433,415,14353,2022-03-20
Lakes,1635,183,5837,2022-03-20
Bay of Plenty,2536,247,9663,2022-03-20
Tairawhiti,1550,146,3586,2022-03-20
Taranaki,1204,152,3891,2022-03-20
Hawkes Bay,2246,226,7110,2022-03-20
MidCentral,1990,185,5415,2022-03-20
Whanganui,771,77,2707,2022-03-20
Capital and Coast,2314,401,4676,2022-03-20
Hutt Valley,1666,210,3674,2022-03-20
Wairarapa,459,64,1304,2022-03-20
Nelson Marlborough,938,117,2457,2022-03-20
West Coast,214,27,548,2022-03-20
Canterbury,3306,413,7502,2022-03-20
South Canterbury,317,32,788,2022-03-20
Southern,1983,183,4918,2022-03-20
Overseas / Unknown,10,5,159,2022-03-20
Total,39955,4547,115562,2022-03-20
