DHB,Dose1,Dose2,Population,Date
Northland,2411,35,10478,2022-03-07
Waitemata,3376,92,8520,2022-03-07
Auckland,1924,74,4322,2022-03-07
Counties Manukau,4181,157,13654,2022-03-07
Waikato,4258,84,14353,2022-03-07
Lakes,1542,42,5837,2022-03-07
Bay of Plenty,2422,69,9663,2022-03-07
Tairawhiti,1369,31,3586,2022-03-07
Taranaki,1156,16,3891,2022-03-07
Hawkes Bay,2110,76,7110,2022-03-07
MidCentral,1890,29,5415,2022-03-07
Whanganui,708,6,2707,2022-03-07
Capital and Coast,2267,38,4676,2022-03-07
Hutt Valley,1616,21,3674,2022-03-07
Wairarapa,436,34,1304,2022-03-07
Nelson Marlborough,905,13,2457,2022-03-07
West Coast,188,5,548,2022-03-07
Canterbury,3184,64,7502,2022-03-07
South Canterbury,297,5,788,2022-03-07
Southern,1896,21,4918,2022-03-07
Overseas / Unknown,10,5,159,2022-03-07
Total,38146,907,115562,2022-03-07
