DHB,Dose1,Dose2,Population,Date
Northland,2742,596,10478,2022-04-20
Waitemata,3477,1189,8520,2022-04-20
Auckland,1961,740,4322,2022-04-20
Counties Manukau,4473,1114,13654,2022-04-20
Waikato,4518,1082,14353,2022-04-20
Lakes,1658,405,5837,2022-04-20
Bay of Plenty,2559,616,9663,2022-04-20
Tairawhiti,1599,415,3586,2022-04-20
Taranaki,1224,374,3891,2022-04-20
Hawkes Bay,2280,536,7110,2022-04-20
MidCentral,2034,616,5415,2022-04-20
Whanganui,779,211,2707,2022-04-20
Capital and Coast,2343,940,4676,2022-04-20
Hutt Valley,1692,537,3674,2022-04-20
Wairarapa,468,132,1304,2022-04-20
Nelson Marlborough,962,296,2457,2022-04-20
West Coast,215,74,548,2022-04-20
Canterbury,3342,1201,7502,2022-04-20
South Canterbury,330,77,788,2022-04-20
Southern,2017,736,4918,2022-04-20
Overseas / Unknown,10,5,159,2022-04-20
Total,40683,11890,115562,2022-04-20
