DHB,Dose1,Dose2,Population,Date
Northland,2551,77,10478,2022-03-16
Waitemata,3439,278,8520,2022-03-16
Auckland,1936,167,4322,2022-03-16
Counties Manukau,4334,298,13654,2022-03-16
Waikato,4405,244,14353,2022-03-16
Lakes,1616,90,5837,2022-03-16
Bay of Plenty,2514,146,9663,2022-03-16
Tairawhiti,1485,72,3586,2022-03-16
Taranaki,1198,71,3891,2022-03-16
Hawkes Bay,2211,129,7110,2022-03-16
MidCentral,1969,93,5415,2022-03-16
Whanganui,758,31,2707,2022-03-16
Capital and Coast,2305,183,4676,2022-03-16
Hutt Valley,1661,104,3674,2022-03-16
Wairarapa,456,51,1304,2022-03-16
Nelson Marlborough,936,50,2457,2022-03-16
West Coast,205,10,548,2022-03-16
Canterbury,3292,200,7502,2022-03-16
South Canterbury,310,13,788,2022-03-16
Southern,1968,91,4918,2022-03-16
Overseas / Unknown,10,5,159,2022-03-16
Total,39559,2398,115562,2022-03-16
