DHB,Dose1,Dose2,Population,Date
Northland,2163,11,10478,2022-02-28
Waitemata,3290,63,8520,2022-02-28
Auckland,1881,52,4322,2022-02-28
Counties Manukau,3986,118,13654,2022-02-28
Waikato,3991,57,14353,2022-02-28
Lakes,1471,25,5837,2022-02-28
Bay of Plenty,2263,44,9663,2022-02-28
Tairawhiti,1209,17,3586,2022-02-28
Taranaki,1093,10,3891,2022-02-28
Hawkes Bay,1785,35,7110,2022-02-28
MidCentral,1723,16,5415,2022-02-28
Whanganui,636,5,2707,2022-02-28
Capital and Coast,2173,26,4676,2022-02-28
Hutt Valley,1552,13,3674,2022-02-28
Wairarapa,407,26,1304,2022-02-28
Nelson Marlborough,856,10,2457,2022-02-28
West Coast,171,5,548,2022-02-28
Canterbury,3002,40,7502,2022-02-28
South Canterbury,276,5,788,2022-02-28
Southern,1818,10,4918,2022-02-28
Overseas / Unknown,9,5,159,2022-02-28
Total,35755,577,115562,2022-02-28
