DHB,Dose1,Dose2,Population,Date
Northland,2458,40,10478,2022-03-09
Waitemata,3399,99,8520,2022-03-09
Auckland,1923,85,4322,2022-03-09
Counties Manukau,4216,170,13654,2022-03-09
Waikato,4306,94,14353,2022-03-09
Lakes,1555,47,5837,2022-03-09
Bay of Plenty,2450,72,9663,2022-03-09
Tairawhiti,1390,32,3586,2022-03-09
Taranaki,1171,19,3891,2022-03-09
Hawkes Bay,2140,76,7110,2022-03-09
MidCentral,1927,30,5415,2022-03-09
Whanganui,732,6,2707,2022-03-09
Capital and Coast,2275,42,4676,2022-03-09
Hutt Valley,1630,25,3674,2022-03-09
Wairarapa,444,36,1304,2022-03-09
Nelson Marlborough,910,16,2457,2022-03-09
West Coast,198,5,548,2022-03-09
Canterbury,3232,70,7502,2022-03-09
South Canterbury,305,5,788,2022-03-09
Southern,1915,22,4918,2022-03-09
Overseas / Unknown,11,5,159,2022-03-09
Total,38587,987,115562,2022-03-09
