DHB,Dose1,Population,Date
Northland,933,10478,2022-01-28
Waitemata,2050,8520,2022-01-28
Auckland,1201,4322,2022-01-28
Counties Manukau,2130,13654,2022-01-28
Waikato,2278,14353,2022-01-28
Lakes,781,5837,2022-01-28
Bay of Plenty,1227,9663,2022-01-28
Tairawhiti,502,3586,2022-01-28
Taranaki,682,3891,2022-01-28
Hawkes Bay,900,7110,2022-01-28
MidCentral,866,5415,2022-01-28
Whanganui,302,2707,2022-01-28
Capital and Coast,1300,4676,2022-01-28
Hutt Valley,924,3674,2022-01-28
Wairarapa,152,1304,2022-01-28
Nelson Marlborough,574,2457,2022-01-28
West Coast,82,548,2022-01-28
Canterbury,1477,7502,2022-01-28
South Canterbury,171,788,2022-01-28
Southern,903,4918,2022-01-28
Overseas / Unknown,5,159,2022-01-28
Total,19440,115562,2022-01-28
