DHB,Dose1,Dose2,Population,Date
Northland,2124,11,10478,2022-02-27
Waitemata,3256,59,8520,2022-02-27
Auckland,1869,46,4322,2022-02-27
Counties Manukau,3951,115,13654,2022-02-27
Waikato,3954,48,14353,2022-02-27
Lakes,1432,24,5837,2022-02-27
Bay of Plenty,2212,37,9663,2022-02-27
Tairawhiti,1199,17,3586,2022-02-27
Taranaki,1085,9,3891,2022-02-27
Hawkes Bay,1769,34,7110,2022-02-27
MidCentral,1705,16,5415,2022-02-27
Whanganui,628,5,2707,2022-02-27
Capital and Coast,2163,25,4676,2022-02-27
Hutt Valley,1537,10,3674,2022-02-27
Wairarapa,401,25,1304,2022-02-27
Nelson Marlborough,853,10,2457,2022-02-27
West Coast,171,5,548,2022-02-27
Canterbury,2968,31,7502,2022-02-27
South Canterbury,273,5,788,2022-02-27
Southern,1800,8,4918,2022-02-27
Overseas / Unknown,9,5,159,2022-02-27
Total,35359,529,115562,2022-02-27
