DHB,Dose1,Dose2,Population,Date
Northland,2656,354,10478,2022-03-29
Waitemata,3468,846,8520,2022-03-29
Auckland,1966,546,4322,2022-03-29
Counties Manukau,4419,781,13654,2022-03-29
Waikato,4453,778,14353,2022-03-29
Lakes,1645,312,5837,2022-03-29
Bay of Plenty,2544,450,9663,2022-03-29
Tairawhiti,1563,259,3586,2022-03-29
Taranaki,1210,296,3891,2022-03-29
Hawkes Bay,2262,379,7110,2022-03-29
MidCentral,2015,424,5415,2022-03-29
Whanganui,775,159,2707,2022-03-29
Capital and Coast,2322,739,4676,2022-03-29
Hutt Valley,1678,401,3674,2022-03-29
Wairarapa,461,95,1304,2022-03-29
Nelson Marlborough,947,229,2457,2022-03-29
West Coast,215,52,548,2022-03-29
Canterbury,3324,838,7502,2022-03-29
South Canterbury,327,65,788,2022-03-29
Southern,2001,455,4918,2022-03-29
Overseas / Unknown,10,5,159,2022-03-29
Total,40261,8459,115562,2022-03-29
