DHB,Dose1,Dose2,Population,Date
Northland,2582,143,10478,2022-03-19
Waitemata,3452,479,8520,2022-03-19
Auckland,1941,314,4322,2022-03-19
Counties Manukau,4392,464,13654,2022-03-19
Waikato,4430,388,14353,2022-03-19
Lakes,1632,167,5837,2022-03-19
Bay of Plenty,2533,229,9663,2022-03-19
Tairawhiti,1520,102,3586,2022-03-19
Taranaki,1202,133,3891,2022-03-19
Hawkes Bay,2233,191,7110,2022-03-19
MidCentral,1987,178,5415,2022-03-19
Whanganui,770,67,2707,2022-03-19
Capital and Coast,2314,379,4676,2022-03-19
Hutt Valley,1666,188,3674,2022-03-19
Wairarapa,459,64,1304,2022-03-19
Nelson Marlborough,937,102,2457,2022-03-19
West Coast,214,27,548,2022-03-19
Canterbury,3305,383,7502,2022-03-19
South Canterbury,317,32,788,2022-03-19
Southern,1979,173,4918,2022-03-19
Overseas / Unknown,10,5,159,2022-03-19
Total,39875,4203,115562,2022-03-19
