DHB,Dose1,Dose2,Population,Date
Northland,2422,36,10478,2022-03-08
Waitemata,3389,94,8520,2022-03-08
Auckland,1923,77,4322,2022-03-08
Counties Manukau,4202,164,13654,2022-03-08
Waikato,4286,87,14353,2022-03-08
Lakes,1546,45,5837,2022-03-08
Bay of Plenty,2438,71,9663,2022-03-08
Tairawhiti,1381,31,3586,2022-03-08
Taranaki,1162,17,3891,2022-03-08
Hawkes Bay,2129,76,7110,2022-03-08
MidCentral,1905,29,5415,2022-03-08
Whanganui,719,6,2707,2022-03-08
Capital and Coast,2273,40,4676,2022-03-08
Hutt Valley,1621,22,3674,2022-03-08
Wairarapa,443,34,1304,2022-03-08
Nelson Marlborough,906,15,2457,2022-03-08
West Coast,193,5,548,2022-03-08
Canterbury,3202,66,7502,2022-03-08
South Canterbury,301,5,788,2022-03-08
Southern,1910,21,4918,2022-03-08
Overseas / Unknown,11,5,159,2022-03-08
Total,38362,936,115562,2022-03-08
