DHB,Dose1,Population,Date
Northland,1959,10478,2022-02-21
Waitemata,3078,8520,2022-02-21
Auckland,1773,4322,2022-02-21
Counties Manukau,3777,13654,2022-02-21
Waikato,3607,14353,2022-02-21
Lakes,1320,5837,2022-02-21
Bay of Plenty,2017,9663,2022-02-21
Tairawhiti,1084,3586,2022-02-21
Taranaki,1017,3891,2022-02-21
Hawkes Bay,1662,7110,2022-02-21
MidCentral,1574,5415,2022-02-21
Whanganui,557,2707,2022-02-21
Capital and Coast,2070,4676,2022-02-21
Hutt Valley,1457,3674,2022-02-21
Wairarapa,382,1304,2022-02-21
Nelson Marlborough,810,2457,2022-02-21
West Coast,161,548,2022-02-21
Canterbury,2721,7502,2022-02-21
South Canterbury,256,788,2022-02-21
Southern,1709,4918,2022-02-21
Overseas / Unknown,9,159,2022-02-21
Total,33000,115562,2022-02-21
