DHB,Dose1,Population,Date
Northland,1592,10478,2022-02-11
Waitemata,2830,8520,2022-02-11
Auckland,1645,4322,2022-02-11
Counties Manukau,3307,13654,2022-02-11
Waikato,3189,14353,2022-02-11
Lakes,1161,5837,2022-02-11
Bay of Plenty,1788,9663,2022-02-11
Tairawhiti,898,3586,2022-02-11
Taranaki,938,3891,2022-02-11
Hawkes Bay,1470,7110,2022-02-11
MidCentral,1361,5415,2022-02-11
Whanganui,472,2707,2022-02-11
Capital and Coast,1853,4676,2022-02-11
Hutt Valley,1301,3674,2022-02-11
Wairarapa,313,1304,2022-02-11
Nelson Marlborough,741,2457,2022-02-11
West Coast,143,548,2022-02-11
Canterbury,2400,7502,2022-02-11
South Canterbury,233,788,2022-02-11
Southern,1471,4918,2022-02-11
Overseas / Unknown,9,159,2022-02-11
Total,29115,115562,2022-02-11
