DHB,Dose1,Dose2,Population,Date
Northland,2387,34,10478,2022-03-06
Waitemata,3370,90,8520,2022-03-06
Auckland,1915,73,4322,2022-03-06
Counties Manukau,4155,146,13654,2022-03-06
Waikato,4245,80,14353,2022-03-06
Lakes,1531,38,5837,2022-03-06
Bay of Plenty,2416,68,9663,2022-03-06
Tairawhiti,1361,31,3586,2022-03-06
Taranaki,1152,16,3891,2022-03-06
Hawkes Bay,2103,75,7110,2022-03-06
MidCentral,1883,29,5415,2022-03-06
Whanganui,703,5,2707,2022-03-06
Capital and Coast,2262,29,4676,2022-03-06
Hutt Valley,1611,21,3674,2022-03-06
Wairarapa,431,34,1304,2022-03-06
Nelson Marlborough,898,12,2457,2022-03-06
West Coast,188,5,548,2022-03-06
Canterbury,3172,61,7502,2022-03-06
South Canterbury,297,5,788,2022-03-06
Southern,1883,15,4918,2022-03-06
Overseas / Unknown,10,5,159,2022-03-06
Total,37973,859,115562,2022-03-06
