DHB,Dose1,Dose2,Population,Date
Northland,2730,552,10478,2022-04-12
Waitemata,3480,1145,8520,2022-04-12
Auckland,1963,716,4322,2022-04-12
Counties Manukau,4468,1059,13654,2022-04-12
Waikato,4517,1047,14353,2022-04-12
Lakes,1658,390,5837,2022-04-12
Bay of Plenty,2557,593,9663,2022-04-12
Tairawhiti,1593,381,3586,2022-04-12
Taranaki,1223,361,3891,2022-04-12
Hawkes Bay,2275,519,7110,2022-04-12
MidCentral,2029,589,5415,2022-04-12
Whanganui,778,203,2707,2022-04-12
Capital and Coast,2337,922,4676,2022-04-12
Hutt Valley,1688,516,3674,2022-04-12
Wairarapa,468,121,1304,2022-04-12
Nelson Marlborough,961,286,2457,2022-04-12
West Coast,215,74,548,2022-04-12
Canterbury,3339,1137,7502,2022-04-12
South Canterbury,328,77,788,2022-04-12
Southern,2013,695,4918,2022-04-12
Overseas / Unknown,10,5,159,2022-04-12
Total,40630,11386,115562,2022-04-12
