DHB,Dose1,Dose2,Population,Date
Northland,2602,203,10478,2022-03-22
Waitemata,3461,595,8520,2022-03-22
Auckland,1958,400,4322,2022-03-22
Counties Manukau,4394,550,13654,2022-03-22
Waikato,4436,485,14353,2022-03-22
Lakes,1638,216,5837,2022-03-22
Bay of Plenty,2533,281,9663,2022-03-22
Tairawhiti,1552,158,3586,2022-03-22
Taranaki,1209,189,3891,2022-03-22
Hawkes Bay,2249,261,7110,2022-03-22
MidCentral,1995,233,5415,2022-03-22
Whanganui,774,95,2707,2022-03-22
Capital and Coast,2316,476,4676,2022-03-22
Hutt Valley,1672,235,3674,2022-03-22
Wairarapa,461,73,1304,2022-03-22
Nelson Marlborough,939,144,2457,2022-03-22
West Coast,214,29,548,2022-03-22
Canterbury,3310,493,7502,2022-03-22
South Canterbury,323,41,788,2022-03-22
Southern,1988,233,4918,2022-03-22
Overseas / Unknown,10,5,159,2022-03-22
Total,40034,5390,115562,2022-03-22
