DHB,Dose1,Dose2,Population,Date
Northland,2648,326,10478,2022-03-26
Waitemata,3471,763,8520,2022-03-26
Auckland,1965,506,4322,2022-03-26
Counties Manukau,4419,709,13654,2022-03-26
Waikato,4449,704,14353,2022-03-26
Lakes,1645,294,5837,2022-03-26
Bay of Plenty,2541,398,9663,2022-03-26
Tairawhiti,1557,202,3586,2022-03-26
Taranaki,1209,262,3891,2022-03-26
Hawkes Bay,2259,316,7110,2022-03-26
MidCentral,2012,355,5415,2022-03-26
Whanganui,774,142,2707,2022-03-26
Capital and Coast,2323,655,4676,2022-03-26
Hutt Valley,1673,341,3674,2022-03-26
Wairarapa,461,91,1304,2022-03-26
Nelson Marlborough,946,205,2457,2022-03-26
West Coast,212,43,548,2022-03-26
Canterbury,3315,719,7502,2022-03-26
South Canterbury,325,56,788,2022-03-26
Southern,2000,368,4918,2022-03-26
Overseas / Unknown,10,5,159,2022-03-26
Total,40214,7456,115562,2022-03-26
