DHB,Dose1,Population,Date
Northland,2053,10478,2022-02-24
Waitemata,3151,8520,2022-02-24
Auckland,1817,4322,2022-02-24
Counties Manukau,3846,13654,2022-02-24
Waikato,3766,14353,2022-02-24
Lakes,1337,5837,2022-02-24
Bay of Plenty,2089,9663,2022-02-24
Tairawhiti,1144,3586,2022-02-24
Taranaki,1044,3891,2022-02-24
Hawkes Bay,1702,7110,2022-02-24
MidCentral,1625,5415,2022-02-24
Whanganui,608,2707,2022-02-24
Capital and Coast,2120,4676,2022-02-24
Hutt Valley,1494,3674,2022-02-24
Wairarapa,389,1304,2022-02-24
Nelson Marlborough,832,2457,2022-02-24
West Coast,164,548,2022-02-24
Canterbury,2841,7502,2022-02-24
South Canterbury,266,788,2022-02-24
Southern,1750,4918,2022-02-24
Overseas / Unknown,9,159,2022-02-24
Total,34047,115562,2022-02-24
