DHB,Dose1,Population,Date
Northland,1499,10478,2022-02-09
Waitemata,2796,8520,2022-02-09
Auckland,1607,4322,2022-02-09
Counties Manukau,3229,13654,2022-02-09
Waikato,3078,14353,2022-02-09
Lakes,1131,5837,2022-02-09
Bay of Plenty,1738,9663,2022-02-09
Tairawhiti,866,3586,2022-02-09
Taranaki,925,3891,2022-02-09
Hawkes Bay,1427,7110,2022-02-09
MidCentral,1332,5415,2022-02-09
Whanganui,451,2707,2022-02-09
Capital and Coast,1813,4676,2022-02-09
Hutt Valley,1249,3674,2022-02-09
Wairarapa,300,1304,2022-02-09
Nelson Marlborough,730,2457,2022-02-09
West Coast,139,548,2022-02-09
Canterbury,2301,7502,2022-02-09
South Canterbury,223,788,2022-02-09
Southern,1397,4918,2022-02-09
Overseas / Unknown,9,159,2022-02-09
Total,28240,115562,2022-02-09
